timestamp,prompt,latency_s,tokens_per_sec,acceptance_rate,cache_hit,draft_model,fallback_triggered,fallback_reason,batch_size
2026-07-10T16:31:59.147393+00:00,The best way to learn programming is,4.6235,6.86,0.8571,False,gpt2-medium,False,,1
2026-07-10T16:32:11.550762+00:00,What is the best way to learn programming?,0.6165,6.86,0.8571,True,gpt2-medium,False,,1
2026-07-10T16:34:54.000330+00:00,The most important skill for a data analyst is (case #0),4.7935,5.11,0.3333,False,gpt2-medium,False,,1
2026-07-10T16:34:55.970505+00:00,The recipe for a good cup of coffee is (case #1),1.9634,10.43,0.5833,False,gpt2,False,,8
2026-07-10T16:34:56.024832+00:00,"The best way to learn programming is, in my opinion,",0.054,6.86,0.8571,True,gpt2-medium,False,,8
2026-07-10T16:34:58.633136+00:00,The history of computers began when (case #3),2.6081,8.35,0.2895,False,gpt2,False,,8
2026-07-10T16:35:00.050098+00:00,Climate change is a serious problem because (case #4),1.4167,15.43,0.9412,False,gpt2,False,,8
2026-07-10T16:35:01.801252+00:00,Artificial intelligence will change the world by,1.7509,11.75,0.6667,False,gpt2,False,,8
2026-07-10T16:35:03.406073+00:00,The economy is likely to shift as (case #6),1.6043,13.48,0.4815,False,gpt2,False,,8
2026-07-10T16:35:05.599951+00:00,A good leader should always,2.1936,9.94,0.6818,False,gpt2,False,,8
2026-07-10T16:35:06.969139+00:00,"The key to writing clean code is, in my opinion,",1.369,15.82,0.4333,False,gpt2,False,,8
2026-07-10T16:35:07.030992+00:00,"Artificial intelligence will change the world by, in my opinion,",0.0101,11.75,0.6667,True,gpt2,False,,2
2026-07-10T16:35:07.046742+00:00,Artificial intelligence will change the world by,0.0156,11.75,0.6667,True,gpt2,False,,2
2026-07-10T16:35:08.573253+00:00,The internet has changed how we (case #11),1.5084,14.36,0.375,False,gpt2,False,,8
2026-07-10T16:35:08.587915+00:00,The best way to learn programming is,0.0144,6.86,0.8571,True,gpt2-medium,False,,8
2026-07-10T16:35:08.601055+00:00,"The key to writing clean code is, in my opinion,",0.013,15.82,0.4333,True,gpt2,False,,8
2026-07-10T16:35:10.112043+00:00,The economy is likely to shift as (case #14),1.5108,14.27,0.4062,False,gpt2,False,,8
2026-07-10T16:35:11.297547+00:00,"In the future, machine learning models will",1.1852,20.1,0.75,False,gpt2,False,,8
2026-07-10T16:35:11.365958+00:00,"A good leader should always, in my opinion,",0.0681,9.94,0.6818,True,gpt2,False,,8
2026-07-10T16:35:11.380984+00:00,"Artificial intelligence will change the world by, in my opinion,",0.0148,11.75,0.6667,True,gpt2,False,,8
2026-07-10T16:35:11.389941+00:00,"Artificial intelligence will change the world by, in my opinion,",0.0088,11.75,0.6667,True,gpt2,False,,8
2026-07-10T16:35:13.167009+00:00,The recipe for a good cup of coffee is (case #19),1.7758,12.17,0.3143,False,gpt2,False,,8
2026-07-10T16:35:15.155385+00:00,Learning a new language requires (case #20),1.9881,10.3,0.2632,False,gpt2,False,,8
2026-07-10T16:35:15.169761+00:00,The key to writing clean code is,0.0141,15.82,0.4333,True,gpt2,False,,8
2026-07-10T16:35:15.182036+00:00,"The key to writing clean code is, in my opinion,",0.0121,15.82,0.4333,True,gpt2,False,,8
2026-07-10T16:35:16.178409+00:00,The history of computers began when (case #23),0.9962,20.78,0.6087,False,gpt2,False,,8
2026-07-10T16:35:17.380276+00:00,The stock market moved today because (case #24),1.2017,18.01,0.5,False,gpt2,False,,8
2026-07-10T16:35:17.393976+00:00,Artificial intelligence will change the world by,0.0135,11.75,0.6667,True,gpt2,False,,8
2026-07-10T16:35:17.406398+00:00,A good leader should always,0.0123,9.94,0.6818,True,gpt2,False,,8
2026-07-10T16:35:17.415045+00:00,The best way to learn programming is,0.0075,6.86,0.8571,True,gpt2-medium,False,,8
2026-07-10T16:35:17.422482+00:00,The key to writing clean code is,0.0073,15.82,0.4333,True,gpt2,False,,8
2026-07-10T16:35:17.433921+00:00,"A good leader should always, in my opinion,",0.0113,9.94,0.6818,True,gpt2,False,,8
2026-07-10T16:35:17.445901+00:00,"In the future, machine learning models will",0.0118,20.1,0.75,True,gpt2,False,,8
2026-07-10T16:35:18.873007+00:00,Cities of the future will need to (case #31),1.4268,15.15,0.375,False,gpt2,False,,8
2026-07-10T16:35:18.886068+00:00,Artificial intelligence will change the world by,0.0128,11.75,0.6667,True,gpt2,False,,8
2026-07-10T16:35:20.155623+00:00,Renewable energy is important since (case #33),1.2694,16.26,0.4,False,gpt2,False,,8
2026-07-10T16:35:21.283355+00:00,The best advice I ever received was (case #34),1.1275,19.3,0.5833,False,gpt2,False,,8
2026-07-10T16:35:21.297393+00:00,Learning a new language requires (case #35),0.0132,10.3,0.2632,True,gpt2,False,,8
2026-07-10T16:35:21.305177+00:00,"Artificial intelligence will change the world by, in my opinion,",0.0076,11.75,0.6667,True,gpt2,False,,8
2026-07-10T16:35:21.312704+00:00,"The best way to learn programming is, in my opinion,",0.0074,6.86,0.8571,True,gpt2-medium,False,,8
2026-07-10T16:35:21.320063+00:00,"Artificial intelligence will change the world by, in my opinion,",0.0072,11.75,0.6667,True,gpt2,False,,8
2026-07-10T16:35:21.332080+00:00,The best way to learn programming is,0.0119,6.86,0.8571,True,gpt2-medium,False,,8
2026-07-10T16:35:21.339671+00:00,Cities of the future will need to (case #40),0.0075,15.15,0.375,True,gpt2,False,,8
2026-07-10T16:35:21.346933+00:00,"A good leader should always, in my opinion,",0.0072,9.94,0.6818,True,gpt2,False,,8
2026-07-10T16:35:21.354292+00:00,"The best way to learn programming is, in my opinion,",0.0073,6.86,0.8571,True,gpt2-medium,False,,8
2026-07-10T16:35:21.362937+00:00,"The key to writing clean code is, in my opinion,",0.0076,15.82,0.4333,True,gpt2,False,,8
2026-07-10T16:35:21.370345+00:00,The key to writing clean code is,0.0073,15.82,0.4333,True,gpt2,False,,8
2026-07-10T16:35:21.378118+00:00,"The key to writing clean code is, in my opinion,",0.0077,15.82,0.4333,True,gpt2,False,,8
2026-07-10T16:35:23.233247+00:00,Scientists recently discovered that (case #46),1.855,11.1,0.2857,False,gpt2,False,,8
2026-07-10T16:35:24.552491+00:00,The biggest challenge in software engineering is (case #47),1.319,16.47,0.4333,False,gpt2,False,,8
2026-07-10T16:35:24.566181+00:00,Scientists recently discovered that (case #48),0.0134,11.1,0.2857,True,gpt2,False,,8
2026-07-10T16:35:25.749910+00:00,My favorite way to relax on weekends is (case #49),1.1836,18.03,0.4815,False,gpt2,False,,8
2026-07-10T16:35:25.763440+00:00,"Artificial intelligence will change the world by, in my opinion,",0.0133,11.75,0.6667,True,gpt2,False,,8
2026-07-10T16:35:27.209054+00:00,Scientists recently discovered that (case #51),1.4447,15.0,0.3636,False,gpt2,False,,8
2026-07-10T16:35:28.332556+00:00,The next big breakthrough in technology will be (case #52),1.1232,19.42,0.56,False,gpt2,False,,8
2026-07-10T16:35:28.347792+00:00,The best way to learn programming is,0.015,6.86,0.8571,True,gpt2-medium,False,,8
2026-07-10T16:35:28.368636+00:00,The key to writing clean code is,0.0207,15.82,0.4333,True,gpt2,False,,8
2026-07-10T16:35:28.398351+00:00,"A good leader should always, in my opinion,",0.0294,9.94,0.6818,True,gpt2,False,,8
2026-07-10T16:35:28.418485+00:00,"In the future, machine learning models will, in my opinion,",0.0195,20.1,0.75,True,gpt2,False,,8
2026-07-10T16:35:29.894890+00:00,The economy is likely to shift as (case #57),1.4761,14.16,0.375,False,gpt2,False,,8
2026-07-10T16:35:29.908220+00:00,My favorite way to relax on weekends is (case #58),0.0131,18.03,0.4815,True,gpt2,False,,8
2026-07-10T16:35:29.977550+00:00,The economy is likely to shift as (case #59),0.0181,14.16,0.375,True,gpt2,False,,2
2026-07-10T16:35:30.008270+00:00,"A good leader should always, in my opinion,",0.0303,9.94,0.6818,True,gpt2,False,,2
2026-07-10T16:35:30.065318+00:00,"Artificial intelligence will change the world by, in my opinion,",0.0184,11.75,0.6667,True,gpt2,False,,8
2026-07-10T16:35:31.345916+00:00,Space exploration matters because (case #62),1.2803,17.08,0.5385,False,gpt2,False,,8
2026-07-10T16:35:32.628133+00:00,Learning a new language requires (case #63),1.2816,16.12,0.52,False,gpt2,False,,8
2026-07-10T16:35:33.742529+00:00,The future of remote work looks like (case #64),1.1142,18.4,0.6364,False,gpt2,False,,8
2026-07-10T16:35:33.754990+00:00,A good leader should always,0.0122,9.94,0.6818,True,gpt2,False,,8
2026-07-10T16:35:33.780245+00:00,The best way to learn programming is,0.0251,6.86,0.8571,True,gpt2-medium,False,,8
2026-07-10T16:35:33.818662+00:00,The recipe for a good cup of coffee is (case #67),0.038,12.17,0.3143,True,gpt2,False,,8
2026-07-10T16:35:33.829953+00:00,The most important skill for a data analyst is (case #68),0.0109,5.11,0.3333,True,gpt2-medium,False,,8
2026-07-10T16:35:33.845254+00:00,The best way to learn programming is,0.0129,6.86,0.8571,True,gpt2-medium,False,,8
